sequence,variant,metric,rmse,mean,median,std,min,max,sse,name
MH_03_medium,baseline,RPE5_trans_m,6.870067919049144,5.638248339677897,5.302121729247786,3.9253011187000255,0.0094907438349257,21.0053753051334,12554.623634484631,euroc_MH_03_medium_baseline_rpe5.zip
MH_03_medium,clahe,RPE5_trans_m,17.191436883483824,14.101879020324802,13.098859375976676,9.832726489378786,0.1136961589232729,52.4705185955463,85708.19561445432,euroc_MH_03_medium_clahe_rpe5.zip
MH_03_medium,mertens,RPE5_trans_m,1.8279271402248023,1.3430821396993349,1.1122939995608638,1.239938706546046,0.0190957494372647,8.041113342325835,1376.622863547815,euroc_MH_03_medium_mertens_rpe5.zip
MH_03_medium_proposed,proposed,RPE5_trans_m,1.950770086763948,1.5875209397010843,1.4078425830661394,1.1337024289572672,0.0311746137936409,5.8857010014433175,1210.1502501893406,euroc_MH_03_medium_proposed_C_rpe5.zip
MH_03_medium,reinhard,RPE5_trans_m,2.758560500031655,2.3239928601395072,2.0846163582477377,1.4861740202128042,0.0220383468550008,6.772656073843784,1582.808454725658,euroc_MH_03_medium_reinhard_rpe5.zip
MH_04_difficult,baseline,RPE5_trans_m,1.7485446920217451,1.4940022081962323,1.2718661390640462,0.9084965282829656,0.0385269955647262,5.580225256923443,856.0743911992777,euroc_MH_04_difficult_baseline_rpe5.zip
MH_04_difficult,clahe,RPE5_trans_m,2.7263087381140347,2.2655637500530843,1.7293968637078494,1.5165685708079093,0.0175196657650661,8.854713757429215,2326.453672016802,euroc_MH_04_difficult_clahe_rpe5.zip
MH_04_difficult,mertens,RPE5_trans_m,3.933048315900458,3.1129885920421434,2.328199074600898,2.403782660937321,0.0315407377156137,13.65277148198821,4687.067323727852,euroc_MH_04_difficult_mertens_rpe5.zip
MH_04_difficult_proposed,proposed,RPE5_trans_m,1.6013895641581473,1.3791514757457402,1.1363921430538984,0.8138732967378692,0.0084328791205528,4.880639397125372,779.5923550031647,euroc_MH_04_difficult_proposed_C_rpe5.zip
MH_04_difficult,reinhard,RPE5_trans_m,1.6967342672743777,1.4768278469016232,1.2715804745838084,0.8353961242183469,0.0321946284703101,5.218574001095166,811.8518229955597,euroc_MH_04_difficult_reinhard_rpe5.zip
MH_05_difficult,baseline,RPE5_trans_m,1.526596984248919,1.3425865499692395,1.2859105921605076,0.726608359544253,0.0044428737537995,4.0950992459695925,731.7764826278192,euroc_MH_05_difficult_baseline_rpe5.zip
MH_05_difficult,clahe,RPE5_trans_m,6.85563903861568,6.039471079639684,5.570647923131073,3.2441602466566284,0.076144301515122,18.447573752400444,14475.934281359729,euroc_MH_05_difficult_clahe_rpe5.zip
MH_05_difficult,mertens,RPE5_trans_m,1.8794217793768773,1.5020858616496726,1.3147012569008831,1.1295858927183482,0.0067272733893662,8.76050909304916,1497.6639193135668,euroc_MH_05_difficult_mertens_rpe5.zip
MH_05_difficult_proposed,proposed,RPE5_trans_m,1.2715271023600028,1.1895110888271594,1.180150632282399,0.4492711225899689,0.0048886682949653,3.4127703110111587,606.2929395135094,euroc_MH_05_difficult_proposed_C_rpe5.zip
MH_05_difficult,reinhard,RPE5_trans_m,1.6858306427085032,1.4883353385123494,1.2237762221244517,0.7917593548738749,0.0454241038700892,4.761115793967551,812.81913738596,euroc_MH_05_difficult_reinhard_rpe5.zip
V1_01_easy,baseline,RPE5_trans_m,1.1509337309745695,0.8875186527644808,0.6775731483305951,0.7327749273072628,0.1574556420344801,4.164969448169171,296.72125349328974,euroc_V1_01_easy_baseline_rpe5.zip
V1_01_easy,clahe,RPE5_trans_m,0.7675867087345698,0.5676994860761826,0.4112551469781746,0.5166300890722564,0.0308939546748527,3.063660833244206,228.6054699052761,euroc_V1_01_easy_clahe_rpe5.zip
V1_01_easy,mertens,RPE5_trans_m,1.1145231632146333,0.8671205277606142,0.6528466909403083,0.7001884544021744,0.1663800286571947,3.949729719708558,291.90804211535874,euroc_V1_01_easy_mertens_rpe5.zip
V1_01_easy_proposed,proposed,RPE5_trans_m,0.7784554998237599,0.5888340163857478,0.4008576597725009,0.5091831363594918,0.0354040420552504,2.66335092748732,221.18743230013888,euroc_V1_01_easy_proposed_C_rpe5.zip
V1_01_easy,reinhard,RPE5_trans_m,1.1987962825678768,0.9593140661990874,0.7477523817465774,0.7189082344020925,0.1936846313664142,3.7530184290073536,296.04518058230354,euroc_V1_01_easy_reinhard_rpe5.zip
V1_02_medium,baseline,RPE5_trans_m,5.425894439858938,4.65838169043161,4.157316460954847,2.782051491030256,0.2416411367695368,13.274960475261986,6388.551712530794,euroc_V1_02_medium_baseline_rpe5.zip
V1_02_medium,clahe,RPE5_trans_m,2.9503944603885968,2.3723790810938032,1.7224586207205967,1.754036763434633,0.0705804587800954,9.297573533058138,2863.888238252376,euroc_V1_02_medium_clahe_rpe5.zip
V1_02_medium,mertens,RPE5_trans_m,6.167257463455843,5.083171715513239,4.381311748302242,3.4923387480538013,0.1288194660713598,16.69926231249498,11106.238869201125,euroc_V1_02_medium_mertens_rpe5.zip
V1_02_medium_proposed,proposed,RPE5_trans_m,5.841635548704517,5.016825474956491,4.515280670169403,2.9926857565932155,0.2735532997088938,14.446319850768344,7780.432941526536,euroc_V1_02_medium_proposed_C_rpe5.zip
V1_02_medium,reinhard,RPE5_trans_m,1.5277805728187366,1.345196134403159,1.2548413404885104,0.7242657237983474,0.1388206764469381,3.84495279103373,473.8250361725164,euroc_V1_02_medium_reinhard_rpe5.zip
